DATE,IRLTLT01DKM156N
2000-01-01,5.6418333333333333
2001-01-01,5.0791666666666666
2002-01-01,5.0559166666666668
2003-01-01,4.3077500000000000
2004-01-01,4.3045833333333333
2005-01-01,3.4037500000000000
2006-01-01,3.8120000000000000
2007-01-01,4.2864166666666666
2008-01-01,4.2843333333333334
2009-01-01,3.5863333333333334
2010-01-01,2.9260833333333333
2011-01-01,2.7292500000000000
2012-01-01,1.4034166666666666
2013-01-01,1.7450000000000000
2014-01-01,1.3248333333333333
2015-01-01,0.69050000000000001000
2016-01-01,0.32033333333333332492
2017-01-01,0.47641666666666665250
2018-01-01,0.45483333333333333500
2019-01-01,-0.18341666666666667083
2020-01-01,-0.35925000000000000500
