DATE,IRLTLT01JPM156N
2000-01-01,1.7444166666666667
2001-01-01,1.3190000000000000
2002-01-01,1.2631666666666667
2003-01-01,1.00325000000000000833
2004-01-01,1.4926666666666667
2005-01-01,1.3547500000000000
2006-01-01,1.7405000000000000
2007-01-01,1.6655000000000000
2008-01-01,1.4673333333333333
2009-01-01,1.3337500000000000
2010-01-01,1.1483333333333333
2011-01-01,1.1024166666666667
2012-01-01,0.83558333333333334167
2013-01-01,0.68966666666666667917
2014-01-01,0.52033333333333334583
2015-01-01,0.35000000000000000000
2016-01-01,-0.06625000000000000000
2017-01-01,0.05166666666666666667
2018-01-01,0.06500000000000000000
2019-01-01,-0.11041666666666666667
2020-01-01,-0.00541666666666666667
