DATE,IRLTLT01NOM156N
2000-01-01,6.2183333333333333
2001-01-01,6.2366666666666667
2002-01-01,6.3841666666666667
2003-01-01,5.0450000000000000
2004-01-01,4.3683333333333333
2005-01-01,3.7458333333333333
2006-01-01,4.0766666666666667
2007-01-01,4.7741666666666667
2008-01-01,4.4583333333333333
2009-01-01,3.9983333333333333
2010-01-01,3.5283333333333333
2011-01-01,3.1350000000000000
2012-01-01,2.1016666666666667
2013-01-01,2.5775000000000000
2014-01-01,2.5150000000000000
2015-01-01,1.5650000000000000
2016-01-01,1.3316666666666667
2017-01-01,1.6375000000000000
2018-01-01,1.8791666666666667
2019-01-01,1.4941666666666667
2020-01-01,0.81750000000000000000
